E1,E1_rec
Argentina,Argentina
Australia,Australia
Australia,Australia
Australia,Australia
Australia (and throughout South and SE Asia),Australia
Austria,Austria
Austria,Austria
Austria,Austria
Austria and interantionally,Austria
Belgium,Belgium
Brasil,Brazil
Brasil,Brazil
Brazil,Brazil
Brazil,Brazil
Brazil,Brazil
Brazil,Brazil
Brazil,Brazil
Brazil.,Brazil
Canada,Canada
Canada,Canada
Catalonia,Spain
Chile,Chile
Chile,Chile
Denmark,Denmark
Denmark,Denmark
Denmark,Denmark
Deutschland,Germany
England,United Kingdom
España,Spain
Estonia,Estonia
Finland,Finland
Finland,Finland
Finland,Finland
France,France
France,France
Germany,Germany
Germany,Germany
Germany,Germany
Germany,Germany
germany,Germany
India,India
Iran,Iran
Ireland,Ireland
Italia,Italy
Italy,Italy
italy,Italy
Italy,Italy
Italy,Italy
Italy,Italy
Italy,Italy
K,
Malaysia,Malaysia
NA,
NA,
NA,
NA,
NA,
Netherlands,Netherlands
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
norway,Norway
Norway,Norway
Norway,Norway
Norway,Norway
Palestine,Palestine
Poland,Poland
Polska,Poland
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Romania,Romania
Romania,Romania
Russian Federation,Russia
Serbia,Serbia
Serbia,Serbia
Slovenia,Slovenia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
SPAIN,Spain
Spain,Spain
Spain,Spain
spain,Spain
Switzerland,Switzerland
switzerland,Switzerland
The Netherlands,Netherlands
Turkey/Turkiye,Turkey
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
uk,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
United States,United States
United States,United States
USA,United States
USA,United States
USA,United States
xx,
