short_code,question_text,question_specification
id,Response ID,NA
submitdate,Date submitted,NA
lastpage,Last page,NA
startlanguage,Start language,NA
seed,Seed,NA
startdate,Date started,NA
datestamp,Date last action,NA
refurl,Referrer URL,NA
D1[SQ001],Consent form  I hereby consent to the processing of my given data for the selected purposes,NA
D1[SQ002],Consent form  I hereby consent to the processing of my given data for the selected purposes,NA
D1[SQ003],Consent form  I hereby consent to the processing of my given data for the selected purposes,NA
D1[SQ004],Consent form  I hereby consent to the processing of my given data for the selected purposes,NA
A1[SQ001],Please rate the following statements according to your practices regarding Open Science  [I make an effort to make my research open],I make an effort to make my research open
A1[SQ002],Please rate the following statements according to your practices regarding Open Science  [I make an effort to make my research collaborative],I make an effort to make my research collaborative
A1[SQ003],Please rate the following statements according to your practices regarding Open Science  [Open science is different from traditional research approaches],Open science is different from traditional research approaches
A1[SQ004],Please rate the following statements according to your practices regarding Open Science  [Open science consists of different dimensions (e.g,NA
A1[SQ005],Please rate the following statements according to your practices regarding Open Science  [Open science values transparency in research],Open science values transparency in research
A2[SQ001],Please rate the following statements according to your own practices regarding Open Access Publishing [I deposit my publications in a repository],I deposit my publications in a repository
A2[SQ002],Please rate the following statements according to your own practices regarding Open Access Publishing [I publish in open-access journals],I publish in open-access journals
A2[SQ003],Please rate the following statements according to your own practices regarding Open Access Publishing [I know how to get funding for open access publication fees],I know how to get funding for open access publication fees
A2[SQ004],Please rate the following statements according to your own practices regarding Open Access Publishing [I publish my publications under an open license],I publish my publications under an open license
A2[SQ005],Please rate the following statements according to your own practices regarding Open Access Publishing [I deposit my preprints in a disciplinary preprint repository],I deposit my preprints in a disciplinary preprint repository
A3[SQ005],Please rate the following statements according to your own practices regarding Research Data Management [I develop a data management plan],I develop a data management plan
A3[SQ001],Please rate the following statements according to your own practices regarding Research Data Management [I share my data in a data repository],I share my data in a data repository
A3[SQ002],"Please rate the following statements according to your own practices regarding Research Data Management [I publish my data’s description along with its identifier (DOI, handle ,...)]","I publish my data’s description along with its identifier (DOI, handle ,...)"
A3[SQ003],"Please rate the following statements according to your own practices regarding Research Data Management [When submitting an article, I make sure my data can be accessed by the reviewers]","When submitting an article, I make sure my data can be accessed by the reviewers"
A3[SQ004],Please rate the following statements according to your own practices regarding Research Data Management [I publish my data under a license],I publish my data under a license
A4[SQ001],Please rate the following statements according to your practices regarding Reproducible Research [I pre-register my hypothesis],I pre-register my hypothesis
A4[SQ002],Please rate the following statements according to your practices regarding Reproducible Research [I extensively document and give access to the methodology used for each finding],I extensively document and give access to the methodology used for each finding
A4[SQ003],Please rate the following statements according to your practices regarding Reproducible Research [I use platforms like open science framework or GitHub to share my research],I use platforms like open science framework or GitHub to share my research
A4[SQ004],Please rate the following statements according to your practices regarding Reproducible Research [I share my electronic laboratory notebooks],I share my electronic laboratory notebooks
A4[SQ005],Please rate the following statements according to your practices regarding Reproducible Research [I foster results reproducibility],I foster results reproducibility
A5[SQ001],Please rate the following statements according to your practices regarding Open Peer Review [Open peer review improves the transparency of the review process],Open peer review improves the transparency of the review process
A5[SQ002],Please rate the following statements according to your practices regarding Open Peer Review [Reviewers’ comments are attentive in open peer-review],Reviewers’ comments are attentive in open peer-review
A5[SQ003],Please rate the following statements according to your practices regarding Open Peer Review [Platforms that allow open peer review are easy to use],Platforms that allow open peer review are easy to use
A5[SQ004],Please rate the following statements according to your practices regarding Open Peer Review [I opt for journals that offer the open peer review option],I opt for journals that offer the open peer review option
A5[SQ005],Please rate the following statements according to your practices regarding Open Peer Review [I sign my reviews],I sign my reviews
A6[SQ001],Please rate the following statements according to your practices regarding Research Software in Open Science [I share my software code (e.g,NA
A6[SQ002],Please rate the following statements according to your practices regarding Research Software in Open Science [I license my software to inform about the conditions under which it can be reused],I license my software to inform about the conditions under which it can be reused
A6[SQ003],Please rate the following statements according to your practices regarding Research Software in Open Science [I extensively document my software development methodology],I extensively document my software development methodology
A6[SQ004],Please rate the following statements according to your practices regarding Research Software in Open Science [I develop software collaboratively],I develop software collaboratively
A6[SQ005],Please rate the following statements according to your practices regarding Research Software in Open Science [I reuse and build upon open-source software],I reuse and build upon open-source software
A7[SQ001],Please rate the following statements according to your practices regarding Licensing [I license my publications ],I license my publications 
A7[SQ002],Please rate the following statements according to your practices regarding Licensing [I use Creative Commons licenses],I use Creative Commons licenses
A7[SQ003],Please rate the following statements according to your practices regarding Licensing [I tend to use licenses that enable some kind of reuse],I tend to use licenses that enable some kind of reuse
A7[SQ004],"Please rate the following statements according to your practices regarding Licensing [I feel confident that when some scientific output is licensed, people using it will respect the licensing terms]","I feel confident that when some scientific output is licensed, people using it will respect the licensing terms"
A7[SQ005],Please rate the following statements according to your practices regarding Licensing [Using a license will prevent unauthorised uses of my work],Using a license will prevent unauthorised uses of my work
A8[SQ001],Please rate the following statements according to your practices regarding Research Integrity [I thoroughly inform my human subjects of all the details concerning their participation in my research],I thoroughly inform my human subjects of all the details concerning their participation in my research
A8[SQ002],Please rate the following statements according to your practices regarding Research Integrity [I inform subjects and ask for their consent prior to disseminating my research],I inform subjects and ask for their consent prior to disseminating my research
A8[SQ003],Please rate the following statements according to your practices regarding Research Integrity [I acknowledge all intellectual contributions and cite related work correctly in my publications],I acknowledge all intellectual contributions and cite related work correctly in my publications
A8[SQ004],Please rate the following statements according to your practices regarding Research Integrity [I comply with codes and regulations relevant to my discipline],I comply with codes and regulations relevant to my discipline
A8[SQ005],Please rate the following statements according to your practices regarding Research Integrity [I review publications without biases or influences],I review publications without biases or influences
A9[SQ001],Please rate the following statements according to your practices regarding Citizen Science [I align my research with challenges relevant for society],I align my research with challenges relevant for society
A9[SQ002],Please rate the following statements according to your practices regarding Citizen Science [I provide the public with the information they need to understand my research],I provide the public with the information they need to understand my research
